Event,Hit,KE_i,KE_e
1,0,1.96848,0
2,0,0.759266,0
3,0,0.730786,0
4,0,0.890025,0
5,0,0.829741,0
6,0,0.169114,0
7,0,0.998666,0
8,0,0.949081,0
9,0,1.10514,0
10,0,0.708847,0
11,0,0.702115,0
12,0,0.685912,0
13,0,0.394092,0
14,0,0.20258,0
15,0,0.932047,0
16,0,0.0150163,0
17,0,1.13168,0
18,0,1.22746,0
19,0,0.826373,0
20,0,1.10459,0
21,0,1.01521,0
22,0,1.53828,0
23,0,0.62609,0
24,0,1.23333,0
25,0,1.22474,0
26,0,0.771461,0
27,0,1.51964,0
28,0,0.744594,0
29,0,0.137457,0
30,0,0.646526,0
31,0,1.35648,0
32,0,1.30177,0
33,0,0.20486,0
34,0,0.459691,0
35,0,1.26292,0
36,0,0.17813,0
37,0,0.400325,0
38,0,0.00410298,0
39,0,0.838128,0
40,0,0.313657,0
41,0,0.0443257,0
42,0,1.01373,0
43,0,0.831603,0
44,0,0.791922,0
45,0,0.884537,0
46,0,0.679893,0
47,0,0.502138,0
48,0,0.0573043,0
49,0,0.890939,0
50,0,1.08947,0
51,0,1.48744,0
52,0,0.88477,0
53,0,1.14342,0
54,0,0.0271124,0
55,0,0.0303053,0
56,0,0.7438,0
57,0,1.77064,0
58,0,0.66819,0
59,0,0.941521,0
60,0,0.891144,0
61,0,0.757953,0
62,0,0.908238,0
63,0,0.760311,0
64,0,0.572772,0
65,0,0.356278,0
66,0,0.817818,0
67,0,0.795649,0
68,0,0.403582,0
69,0,0.731434,0
70,0,1.10905,0
71,0,0.959217,0
72,0,0.5985,0
73,0,0.623086,0
74,0,0.509141,0
75,0,1.0226,0
76,0,0.420283,0
77,0,0.745398,0
78,0,0.384928,0
79,0,1.3002,0
80,0,1.53433,0
81,0,0.562202,0
82,0,0.140335,0
83,0,0.891148,0
84,0,0.498698,0
85,0,0.57902,0
86,0,0.591208,0
87,0,0.137728,0
88,0,0.0286245,0
89,0,0.717029,0
90,0,1.15815,0
91,0,0.714614,0
92,0,1.5904,0
93,0,0.0213586,0
94,0,0.254945,0
95,0,0.455171,0
96,0,1.25444,0
97,0,1.07119,0
98,0,0.71364,0
99,0,1.08066,0
100,0,0.26333,0
101,0,0.288514,0
102,0,1.41309,0
103,0,0.389931,0
104,0,1.68462,0
105,0,1.05838,0
106,0,0.209409,0
107,0,0.809307,0
108,0,0.822331,0
109,0,1.32874,0
110,0,0.337061,0
111,0,0.228916,0
112,0,0.735441,0
113,0,0.666258,0
114,0,0.910048,0
115,0,0.858122,0
116,0,1.45918,0
117,0,0.686677,0
118,0,0.372374,0
119,0,0.88358,0
120,0,0.461794,0
121,0,0.428128,0
122,0,0.463292,0
123,0,1.19074,0
124,0,1.14811,0
125,0,1.52296,0
126,0,0.270117,0
127,0,0.268476,0
128,0,1.5101,0
129,0,1.01653,0
